company_id,from_fy,to_fy,cohort,industry_group,distress_mechanism,is_pre_event,event_date,days_between_ar_and_event,has_not_due_column,msme_book_material,ageing_basis,interest_direction,interest_from_cr,interest_to_cr,interest_line_used,migration_pp,payables_over_revenue_pp,nonmsme_aged_growth_pct,cash_buffer_from,cash_buffer_to,signal_fired,notes
BALRAMPUR_C,FY2022,FY2023,control,food_agri,not_applicable,false,,,true,false,due_date,unavailable,,0.0,accrued_unpaid,-62.9,,13.5,0,6,none_fired,
BALRAMPUR_C,FY2023,FY2024,control,food_agri,not_applicable,false,,,true,false,due_date,flat,0.0,0.0,accrued_unpaid,0.0,-1.8,-13.5,6,0,none_fired,
BALRAMPUR_C,FY2024,FY2025,control,food_agri,not_applicable,false,,,true,false,due_date,unavailable,0.0,,,0.0,,-1.7,0,0,none_fired,
BESTAGRO,FY2023,FY2024,distress,chemicals,trading_stress,true,2025-08-22,350,false,false,transaction_date,flat,0.0,0.0,accrued_unpaid,,5.2,61.3,21,5,payables_outgrowing_revenue,
BGL,FY2022,FY2023,control,automotive,not_applicable,false,,,true,true,due_date,unavailable,,0.02,accrued_unpaid,-28.7,,,5,3,none_fired,
BGL,FY2023,FY2024,control,automotive,not_applicable,false,,,true,true,due_date,flat,0.02,0.02,accrued_unpaid,15.5,1.1,-15.3,3,5,none_fired,
BGL,FY2024,FY2025,control,automotive,not_applicable,false,,,true,true,due_date,flat,0.02,0.02,accrued_unpaid,-16.8,,,5,5,none_fired,
BHS,FY2022,FY2023,distress,food_agri,financial_structure,false,,,false,false,due_date,flat,0.0,0.0,accrued_unpaid,,,10.2,3,1,none_fired,
BHS,FY2023,FY2024,distress,food_agri,financial_structure,true,2025-03-29,302,false,false,due_date,up,0.0,0.16,accrued_unpaid,,-12.5,-20.5,1,3,msmed_interest_up,
DHANUKA_C,FY2023,FY2024,control,chemicals,not_applicable,false,,,false,false,transaction_date,flat,0.14,0.14,accrued_unpaid,,-1.8,-16.0,26,19,none_fired,
DHANUKA_C,FY2024,FY2025,control,chemicals,not_applicable,false,,,false,false,transaction_date,flat,0.14,0.14,accrued_unpaid,,,,19,28,none_fired,
GENSOL,FY2022,FY2023,distress,energy_infrastructure,governance,false,,,false,false,due_date,up,0.0,0.02,due_on_payments_beyond_appointed_day,,1.2,315.8,,351,msmed_interest_up,
GENSOL,FY2023,FY2024,distress,energy_infrastructure,governance,true,2025-03-03,177,false,false,due_date,up,0.02,0.05,due_on_payments_beyond_appointed_day,,-0.2,151.2,351,178,msmed_interest_up,
JPA,FY2022,FY2023,distress,cement,financial_structure,true,2024-06-03,269,false,false,transaction_date,up,3.58,5.93,accrued_unpaid,,-12.0,6.6,31,,msmed_interest_up,
LOKESH,FY2023,FY2024,distress,industrial_machinery,external_shock,true,2025-02-24,194,false,true,due_date,up,0.0,0.02,due_unpaid,,0.2,13.1,12,12,msmed_interest_up,
