company_id,name,cin,bse_code,nse_symbol,sector,product_category,cohort,tier_role,event_valid,signal_valid,backtest_valid,graph_valid,abandoned_reason,notes,industry_group,distress_mechanism,ageing_basis,has_not_due_column,msme_book_material,msme_pct_of_trade_payables,signal_path,matched_to,role_history,data_source,entity_status
SHIVAM,Shivam Autotech Limited,L34300HR2005PLC081531,,SHIVAMAUTO,auto_components,transmission gears and shafts (two-wheeler),distress,tier1,true,true,true,true,,"Event 22-Jul-2025. FY24 annual report dated 12-Aug-2024 (financial statements approved 27-May-2024) precedes the event by 344 days and carries FY24 and FY23 - a clean pre-event window. CAUTION: the FY25 report RESTATES the FY24 Not Due / under-1-year split (Not Due 0.04 lakh restated to 639.06 lakh) and restates FY24 interest accrued and remaining unpaid (78.99 lakh restated to 72.99 lakh). Rows carry the figures as published in each report; the FY2024 row uses the FY24 report, i.e. what was knowable before the event. See findings.md. || SIGNAL RELIABILITY WARNING (added after within-company panel built): Shivam's Not Due-to-overdue migration REVERSES depending on which report is used for FY24. FY24 report: Not Due Rs 0.04 lakh, i.e. 100.0% of MSME dues overdue, giving +22.1 pp. FY25 report's FY24 comparative: Not Due Rs 639.06 lakh, i.e. 57.9% overdue, giving MINUS 20.0 pp. The company's own Not Due share across years is 34.2% (FY22), 24.4% (FY23), then either 1.1% or 46.7% (FY24), then 47.3% (FY25). The FY25-report version fits that series smoothly; the FY24-report version is a wild outlier. ASSESSMENT: the FY24 report figure is more likely a reporting error than a real collapse in Not Due, which would make Shivam's migration signal SPURIOUS. Shivam's other indicators are unaffected: MSMED interest accrued rose 0.73 -> 0.79 -> 1.33 across FY23-FY25, and non-MSME payables fell 32% in FY24. Treat Shivam as NOT evidence for the migration signal until the FY24 discrepancy is resolved with the company's filings. VERIFICATION ATTEMPTED: the BSE-hosted FY24 annual report (filed 31-08-2024, Fld_ReSubmit=0, i.e. never revised) was compared against the separately-sourced copy and the ageing table is IDENTICAL (Not Due 0.04). The FY24 report contains only one payables ageing table, so there is no internal cross-check. The discrepancy is therefore genuine and cannot be resolved from public filings alone; it needs the company's confirmation. Shivam remains excluded from the event evidence. || RESOLUTION ATTEMPT 2 - CORRIGENDUM FOUND: Shivam filed a Corrigendum to the FY2023-24 Annual Report with BSE on 16-09-2024 (announcement 'Corrigendum for unforeseen printing errors in the company's Annual Report for FY 2023-24', attachment 778d9d39-b58b-4d7b-a6cb-5c2a2a1b2eb7.pdf, 3 pages, scanned). It lists corrections for annual report pages 94, 95, 105, 108, 110, 112, 114, 115, 116, 121 and 135 - including errors as small as 0.01 lakh and a misspelling of 'Gurugram'. PAGE 117, WHICH CARRIES THE TRADE PAYABLES AGEING TABLE, IS NOT CORRECTED. The company therefore reviewed the FY24 report to one-paisa precision and did NOT treat the Not Due figure of 0.04 lakh as an error. This SHIFTS the balance of evidence toward the as-filed FY24 figure being intentional, and the FY25 comparative being a regrouping (the FY25 report carries only a generic 'previous year figures have been regrouped/restated' note). STATUS: upgraded from disputed to a QUALIFIED event observation. Report the headline both ways - conservatively n=1 event (Setco only), or n=2 including Shivam. Still unexplained by the company.",automotive,trading_stress,due_date,true,true,27.4,msme_not_due_migration_qualified,,,real,listed_india
LOKESH,Lokesh Machines Limited,,,LOKESHMACH,machine_tools_and_auto_components,CNC machines and machined auto components,distress,tier1,true,true,true,true,,"Event 24-Feb-2025. FY24 annual report dated 14-Aug-2024 (financial statements approved 22-May-2024) precedes the event by 194 days and carries both FY24 and FY23 - a clean pre-event window. CAUTION: Lokesh omits the Not Due column from its ageing table, so its under-1-year figure is NOT comparable with Shivam or Setco.",industrial_machinery,external_shock,due_date,false,true,9.0,msmed_interest_accrued,,,real,listed_india
SETCO,Setco Automotive Limited,,505075,SETCO,auto_components,clutches for M&HCV,distress,tier1,true,true,true,true,,"Listed parent; figures recorded on a CONSOLIDATED basis because the standalone entity is a holding shell (standalone trade payables Rs 0.35 cr at FY25) after the clutch business was moved to subsidiary Setco Auto Systems Pvt Ltd by slump sale in Sept-2021. Event is the ICRA downgrade of SASPL NCDs to [ICRA]D on 03-Sep-2025; SASPL is consolidated here. FY25 report published 12-Aug-2025, 22 days BEFORE the event.",automotive,trading_stress,due_date,true,true,16.2,msme_not_due_migration,,,real,listed_india
AUTOIND,Autoline Industries Limited,,,AUTOIND,auto_components,sheet-metal assemblies,distress,tier1,false,false,false,true,"No qualifying distress event in FY22 or later: Infomerics UPGRADED IVR BB to IVR BB+ and IVR A4 to IVR A4+ on 10-Sep-2024. Liquidity described as stretched but no downgrade, negative outlook or default. Its rating distress predates FY22.",Clean abandonment. Tata Motors named as customer (Sanand).,automotive,not_applicable,,,,,not_researched,,,real,listed_india
GENSOL,Gensol Engineering Limited,,542851,GENSOL,solar_epc_and_ev,"solar EPC, EV manufacturing and EV leasing",distress,tier0,true,true,true,true,,"Event = CARE downgrade to CARE D from CARE BB+; Stable on 03-Mar-2025 for ongoing delays in term-loan servicing. FY24 annual report submitted to BSE 07-Sep-2024, 177 days before the event. Ind AS transition means the FY24 report carries THREE balance-sheet dates (31-Mar-2024, 31-Mar-2023, 01-Apr-2022), so one report yielded three years. CAUTION: no Not Due column in the ageing table. Not an auto-sector company; included for event quality. || TIER: Anchor/end-producer: solar EPC contractor and EV lessor with its own upstream supplier base (modules, components). Not a component supplier into another manufacturer.",energy_infrastructure,governance,due_date,false,false,2.8,none_fired,,,real,listed_india
BESTAGRO,Best Agrolife Limited,L74110DL1992PLC116773,539660,BESTAGRO,agrochemicals,technical and formulation agrochemicals,distress,tier0,true,true,true,false,,"Event = Crisil downgrade to Crisil BBB/Stable from Crisil BBB+/Stable on 22-Aug-2025. FY24 annual report filed with BSE 06-Sep-2024, 350 days before the event. Reported in Rs MILLIONS; converted to crore by dividing by 10. TWO comparability caveats: (a) no Not Due column, and (b) the ageing is measured 'from date of transaction', NOT from the due date of payment - so its under-1-year bucket is not comparable with any other company in this set. MSME book is negligible (Rs 0.15 cr), so the signal here sits in the non-MSME aged buckets. Company discloses no trade payables turnover ratio and reports 'Purchase of stock-in-trade' rather than cost of materials consumed, so both fields are left empty. graph_valid FALSE: no named customer - sells through a distributor network. || TIER: Anchor/end-producer: buys technicals and sells finished agrochemical formulations through a distributor network.",chemicals,trading_stress,transaction_date,false,false,0.04,nonmsme_ageing_growth,,,real,listed_india
BHS,Bajaj Hindusthan Sugar Limited,,500032,BAJAJHIND,sugar,"sugar, alcohol and power co-generation",distress,tier0,true,true,true,false,,"Event = CARE downgrade to CARE D from CARE B+; Negative on 29-Mar-2025 on expected default of a Rs 268 crore OCD instalment. FY24 annual report filed with BSE 31-05-2024, 302 days before the event. FY23 figures were cross-checked against the FY23 report's own columns and are IDENTICAL - no restatement. INDUSTRY-CRITICAL CAVEAT: in sugar, dues to sugarcane farmers do NOT sit in trade payables. Rs 2,361 crore of this company's Rs 2,494 crore 'Other payables' (Note 27, other current liabilities) is cane price dues routed through a statutory cane-price escrow account under the UP Sugar Cane Act 1953. The Schedule III trade payables ageing therefore measures the WRONG liability for this industry. Any sugar company added to this dataset must have its cane arrears captured separately. No Not Due column. MSME book immaterial (0.05% of trade payables). graph_valid FALSE - suppliers are farmers, customers are traders/OMCs; no named counterparty. || TIER: Anchor/end-producer: buys sugarcane from farmers, sells sugar/alcohol/power to traders and OMCs.",food_agri,financial_structure,due_date,false,false,0.05,none_fired,,,real,listed_india
NECTAR,Nectar Lifesciences Limited,,532649,NECLIFE,pharmaceuticals,"cephalosporin APIs and formulations, menthol",distress,tier1,true,true,true,true,,"Event = CARE downgrade to CARE BB-/A4 (Rating Watch Negative) from CARE BB/A4+ on 16-Jul-2025. FY24 annual report filed with BSE 14-08-2024, 336 days before the event. Reported in Rs MILLIONS; converted by dividing by 10. No Not Due column; ageing runs from due date. THRESHOLD EDGE CASE: msme_book_material is FALSE at 2.59% of trade payables, yet MSME payables ROSE 583% in the pre-event year - the clearest signal in the company. This shows the 5% materiality threshold must gate LEVEL comparisons only, never growth signals. See DATA_DICTIONARY section 5 trap 3. MSMED note is narrative, not tabular: only principal unpaid and interest under s.16 are disclosed, so the other MSMED fields are empty (not nil). REVISED AFTER CONTROLS: signal_path was msme_balance_growth, but control BGL_C (a company CARE UPGRADED) posted MSME growth of +629% against Nectar's +583%. MSME balance growth therefore does NOT discriminate and has been retired as a signal. Nectar still fires on payables/revenue, which rose 20.9% to 24.9% while both controls FELL ~2 points.",pharma,trading_stress,due_date,false,false,2.59,payables_outgrowing_revenue,,,real,listed_india
JPA,Jaiprakash Associates Limited,,532532,JPASSOCIAT,cement_and_construction,"cement, EPC construction, real estate, hospitality, power",distress,tier0,true,true,true,false,,"Event = NCLT admitted the company to CIRP on 03-06-2024 on an ICICI Bank plea, after defaults of ~Rs 4,616 crore. FY23 annual report filed with BSE 08-09-2023, 269 days before admission. Reported in Rs LAKHS; converted by dividing by 100. Ages from DATE OF TRANSACTION, not due date - buckets not comparable with the automotive companies. No Not Due column. SCOPE NOTE: rows cover CURRENT trade payables only, per the ageing table's own stated scope (it includes liability associated with assets held for sale); non-current trade payables of Rs 77.06 cr (FY23) and Rs 66.96 cr (FY22) are excluded. Do not reconcile these rows to the balance-sheet total without adding those back. MIXED SIGNAL: MSME principal FELL 64% (Rs 57.98 cr to Rs 21.15 cr) while MSMED interest accrued and unpaid ROSE 66% (Rs 3.58 cr to Rs 5.93 cr), and the trade payables turnover ratio deteriorated 14% (0.91 to 0.78). Meanwhile revenue grew 33% and payables/revenue improved. Read as partial, not clean. This is the one company where the turnover ratio DID deteriorate pre-event. graph_valid FALSE - no named counterparty recoverable. || TIER: Anchor/end-producer: cement manufacturing and EPC construction.",cement,financial_structure,transaction_date,false,false,1.25,mixed_partial,,,real,listed_india
BGL,Bharat Gears Limited,L29130HR1971PLC034365,505688,BHARATGEAR,auto_components,gears for tractors and commercial vehicles,control,tier1,true,true,true,true,"No qualifying distress event in FY22 or later: CARE reaffirmed CARE BBB; Stable on 03-Oct-2023 and subsequently UPGRADED the bank facilities (Sep-2024 revised PR). Operating cycle worsened 29d to 41d in FY23 but no downgrade, negative outlook, default or going-concern qualification.","CONTROL, matched to SHIVAM (both gear manufacturers, tier-1, similar size). Non-distress confirmed: CARE reaffirmed CARE BBB; Stable on 03-Oct-2023 and UPGRADED the bank facilities in Sep-2024. Best disclosure in the dataset - has BOTH a Not Due and an Unbilled column. Reported in Rs LAKHS. IMPORTANT CONTROL RESULT: MSE payables rose 7.3x (Rs 1.46 cr to Rs 10.64 cr) and the MSE overdue share rose 20.8% to 36.1% in FY24, in a company that was UPGRADED. This is a false-positive on the msme_balance_growth signal and a partial false-positive on the not_due_migration signal. Total trade payables FELL 8% over the same period. See findings.md. MAJOR FINDING: Bharat Gears is the ONLY company in the dataset that discloses 'The amount of principal paid beyond the appointed day' - the brief's original PRIMARY SIGNAL - as its own line with non-zero values: Rs 9.21 cr in FY23 falling to Rs 3.20 cr in FY24, a 65% improvement, exactly what a healthy company should show. It also discloses 'Principal amount remaining unpaid beyond 45 days' (Rs 0.08 cr FY23, Rs 0.78 cr FY24). The contrast inside one company is the point: the STOCK figures (MSME balance, overdue share) rose sharply and look like distress, while the FLOW figure fell sharply and correctly says healthy. DISCREPANCY: MSMED Note 32.2 principal unpaid (Rs 1,091.96 / 149.97 lakh) differs slightly from Note 23 trade payables MSE (Rs 1,064.21 / 146.31 lakh); both recorded as printed.",automotive,not_applicable,due_date,true,true,8.77,false_positive_risk,SHIVAM,Checked 2026-09-08 as a DISTRESS candidate and disqualified - the Oct-2023 CARE action is a reaffirmation at CARE BBB; Stable and the facilities were UPGRADED in Sep-2024. Promoted to the CONTROL cohort on the same evidence. Previously carried as two rows (company_id BGL and BGL_C) with the same NSE symbol BHARATGEAR; merged to a single identity 'BGL' on 2026-09-08 per brief section 4.5. The abandoned-distress row's abandoned_reason is preserved below.,real,listed_india
