edge_id,from_company,to_company,from_company_id,to_company_id,relationship_type,direction_normalised,confidence,evidence_source,fy,component,weight_pct,weight_amount_cr,annual_value_cr,value_basis,is_single_source,single_source_evidence,data_source,source_url,notes
E001,SHIVAM,Hero MotoCorp Limited,SHIVAM,HERO,supplies_to,supplier_to_buyer,confirmed,mdna,FY2025,transmission_gears_and_shafts,,,,not_available,,,real,"""user-supplied PDF: Shivam Autotech Annual Report 2024-25 (MD&A: """"Motocorp which continues to be the major customer of the Company"""")""",
E002,SHIVAM,Hero MotoCorp Limited,SHIVAM,HERO,supplies_to,supplier_to_buyer,concentration_only,press,FY2025,transmission_gears_and_shafts,40,,181.59,rating_agency_stated_pct,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202507120704_Shivam_Autotech_Limited.pdf,
E003,SHIVAM,Hero MotoCorp Limited,SHIVAM,HERO,supplies_to,supplier_to_buyer,concentration_only,press,FY2022,transmission_gears_and_shafts,60,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/30092022062111_Shivam_Autotech_Limited.pdf,
E004,SHIVAM,Hilti,SHIVAM,HILTI,supplies_to,supplier_to_buyer,confirmed,mdna,FY2025,unknown,,,,not_available,,,real,"""user-supplied PDF: Shivam Autotech Annual Report 2024-25 (MD&A: """"newly developed customers such as Hilti"","" Mando"""")""",
E005,SHIVAM,Mando,SHIVAM,MANDO,supplies_to,supplier_to_buyer,confirmed,mdna,FY2025,unknown,,,,not_available,,,real,"""user-supplied PDF: Shivam Autotech Annual Report 2024-25 (MD&A: """"newly developed customers such as Hilti"","" Mando"""")""",
E006,LOKESH,Mahindra and Mahindra Limited,LOKESH,MAHINDRA,supplies_to,supplier_to_buyer,confirmed,mdna,FY2024,cylinder_blocks_and_connecting_rods,,,,not_available,,,real,"""user-supplied PDF: Lokesh Machines Annual Report 2024-25 (MD&A: Component Division """"entirely focused on supply of Niche Cylinder Blocks and Connecting Rods to Mahindra and Mahindra"""")""",
E007,LOKESH,Mahindra and Mahindra Limited,LOKESH,MAHINDRA,relationship_terminated,supplier_to_buyer,confirmed,mdna,FY2025,cylinder_blocks_and_connecting_rods,,,,not_available,,,real,"""user-supplied PDF: Lokesh Machines Annual Report 2024-25 (""""discontinuation of business with Mahindra & Mahindra"","" a key customer""""; OFAC sanctions caused suspension; """"near Zero business"""")""",
E008,LOKESH,unnamed customer,LOKESH,,concentration_disclosure_unnamed,not_applicable,concentration_only,segment_note,FY2025,unknown,10,,,not_available,,,real,user-supplied PDF: Lokesh Machines Annual Report 2024-25 (Note 41(c): one customer individually >10% of revenue in FY2025 and FY2024),"Not a graph edge: the source discloses a customer concentration percentage without naming the counterparty, so there is no resolvable to_company_id. Retained because the percentage is real and usable for flow-share sanity checks. Known, intentional deviation from the ""every to_company_id resolves"" check."
E009,LOKESH,Ashok Leyland Limited,LOKESH,ASHOKLEY,supplies_to,supplier_to_buyer,probable,press,FY2024,cnc_machines_and_machined_components,,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202502120211_Lokesh_Machines_Limited.pdf,
E010,LOKESH,Kirloskar Oil Engines Limited,LOKESH,KIRLOSKAROIL,supplies_to,supplier_to_buyer,probable,press,FY2024,cnc_machines_and_machined_components,,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202502120211_Lokesh_Machines_Limited.pdf,
