company_id,fy,report_url,report_filing_date,source_page,msme_unbilled,msme_not_due,msme_under_1yr,msme_1_2yr,msme_2_3yr,msme_over_3yr,msme_total,nonmsme_total,disputed_total,total_trade_payables,msmed_principal_unpaid_year_end,msmed_interest_due_unpaid,msmed_principal_paid_beyond_appointed_day,msmed_interest_paid_u_s16,msmed_interest_accrued_unpaid,revenue_standalone,revenue_consolidated,cost_of_materials_consumed,trade_payables_turnover_ratio,units_as_reported,has_not_due_column,basis,msmed_interest_due_on_payments_made_beyond_appointed_day,ageing_basis,cash_and_cash_equivalents_cr,bank_balances_other_cr,current_investments_cr,total_expenses_cr,depreciation_amortisation_cr,finance_costs_cr,cash_buffer_days,cash_components_basis,purchases_stock_in_trade_cr,cost_base_type,msmed_interest_lines_disclosed,msmed_note_format,msmed_note_verbatim,undrawn_credit_facilities_cr,undrawn_source,plausibility_flags,total_expenses_includes_dep_fin
SHIVAM,FY2023,user-supplied PDF: Shivam Autotech Annual Report 2023-24,2023-09-09,FY2023 report: standalone P&L p.84; standalone BS p.83; cash flow p.85; MSMED note 33 p.114,,3.42,10.87,0.91,0.17,0.09,15.47,59.11,nil,74.57,15.47,,,nil,0.73,470.36,,179.12,2.43,lakh,true,standalone,nil,due_date,57.92,0.25,nil,506.06,35.23,49.9,50,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,b) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year.,,"not disclosed in the annual report: the liquidity-risk note refers to ""sufficient headroom on its undrawn committed borrowing facilities"" as policy boilerplate with no figure. See FY2025 row for the CARE rating-rationale quantum.",,true
SHIVAM,FY2024,user-supplied PDF: Shivam Autotech Annual Report 2023-24,2024-08-31,FY2024 report: standalone P&L p.94; standalone BS p.93; cash flow p.95; MSMED note 33 p.125,,0.0004,14.35,0.32,0.24,0.24,15.16,40.15,nil,55.31,15.16,,,nil,0.79,469.66,,184.09,2.85,lakh,true,standalone,nil,due_date,0.61,0.15,nil,520.03,35.96,57.7,1,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,b) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year.,,"not disclosed in the annual report: the liquidity-risk note refers to ""sufficient headroom on its undrawn committed borrowing facilities"" as policy boilerplate with no figure. See FY2025 row for the CARE rating-rationale quantum.",BUFFER_1d,true
SHIVAM,FY2025,user-supplied PDF: Shivam Autotech Annual Report 2024-25,2025-08-26,FY2025 report: standalone P&L p.88; standalone BS p.87; cash flow p.89; MSMED note 33 p.120,,6.30,12.44,0.23,0.24,0.35,19.55,44.41,nil,63.96,19.55,,,nil,1.33,453.98,,169.16,2.82,lakh,true,standalone,nil,due_date,0.22,0.74,nil,502.16,33.18,59.41,1,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,b) Interest paid by the Company in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during the accounting year.,88.0,"CARE rating press release 22-Jul-2025 (CARE BB-; Outlook revised Stable to Negative): ""The working capital utilisation in last 12 months ending on May 25 is ~78% ... The liquidity is supported by undisbursed amount of ~Rs. 70 crores of NCD from Modulus Alternatives Investment Managers Ltd and ~18 crore NCD from Aditya Birla Sunlife AMC Limited."" Recorded 70+18=88. NOTE: this is UNDISBURSED NCD (debt issuance), not an undrawn working-capital bank limit; the AR itself gives no undrawn figure.",BUFFER_1d,true
LOKESH,FY2024,user-supplied PDF: Lokesh Machines Annual Report 2023-24,2024-09-03,"FY2024 report: standalone P&L p.94; standalone BS p.93; cash flow p.95. Total Expenses net of Captive Consumption 1,481.78 lakh.",,,3.28,nil,nil,nil,3.28,33.34,nil,36.63,3.28,0.02,,nil,nil,293.54,,171.15,5.21,lakh,false,standalone,nil,due_date,0.21,8.28,nil,274.67,9.97,11.48,12,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,"Principle Amount due | Interest due on above | Amount of interest paid in terms of section 16 of the MSMED Act, 2016 | Amount of interest due and payable for the period off delay | Amount of interest accured and remaining unpaid as at year end | Amount of further interest remaining due and payable in the succeeding year",,,,true
LOKESH,FY2023,user-supplied PDF: Lokesh Machines Annual Report 2023-24,2023-09-02,"FY2023 report: standalone P&L p.78; standalone BS p.77; cash flow p.80. Total Expenses is net of a Less: Captive Consumption line (1,445.63 lakh) as the company presents it.",,,0.09,nil,nil,nil,0.09,29.49,nil,29.58,0.09,nil,,nil,nil,240.3,,146.41,5.25,lakh,false,standalone,nil,due_date,0.22,6.72,nil,231.6,9.08,10.74,12,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,"Principle Amount due | Interest due on above | Amount of interest paid in terms of section 16 of the MSMED Act, 2016 | Amount of interest due and payable for the period off delay | Amount of interest accured and remaining unpaid as at year end | Amount of further interest remaining due and payable in the succeeding year",,,,true
LOKESH,FY2025,user-supplied PDF: Lokesh Machines Annual Report 2024-25,2025-09-04,"FY2025 report: standalone P&L p.77; standalone BS p.76; cash flow p.79. Total Expenses net of Captive Consumption 1,345.81 lakh.",,,2.92,nil,nil,nil,2.92,33.32,nil,36.24,2.92,0.03,,nil,nil,228.32,,134.55,3.74,lakh,false,standalone,nil,due_date,0.17,9.15,nil,228.9,13.87,15.18,17,current_investments_absent_treated_nil,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,"Principle Amount due | Interest due on above | Amount of interest paid in terms of section 16 of the MSMED Act, 2016 | Amount of interest due and payable for the period off delay | Amount of interest accured and remaining unpaid as at year end | Amount of further interest remaining due and payable in the succeeding year",,,,true
SETCO,FY2023,user-supplied PDF: Setco Automotive Annual Report 2023-24 (scanned; extracted by OCR),2023-09-04,"FY2023 report: consolidated P&L p.136; consolidated BS p.135; consolidated cash flow p.138. RESTATEMENT: the FY2024 report shows FY2023 revenue as 54,567.17 lakh against this report own 54,557.17 lakh (Rs 0.10 cr). Rule 1 applied - the year is taken from its own report.",,11.26,4.33,nil,nil,0.47,16.05,77.70,nil,93.76,16.05,,,,0.07,,545.57,302.35,3.49,lakh,true,consolidated,,due_date,16.55,0.65,nil,698.48,38.45,154.74,12,current_investments_absent_treated_nil,,materials_consumed,2,two_line_principal_and_interest_only_no_appointed_day_caption,"Information in terms of Section 22 of Micro, Small and Medium enterprises Development Act, 2006 are given below: Principal amount remaining unpaid to any supplier at the end of each accounting year 1,605.35 | Interest accrued & remaining unpaid 7.33 [Rs in Lakhs, consolidated. TWO-LINE note only - no ""beyond the appointed day"" caption of any kind]",,,FIN_GT_20PCT,true
SETCO,FY2024,user-supplied PDF: Setco Automotive Annual Report 2023-24 (scanned; extracted by OCR),2025-09-02,FY2025 report comparative column (consolidated): p138 P&L; p137 BS; p139 CF. Setco own FY2024 annual report is a 29MB image-only scan with no text layer.,,7.03,8.52,nil,nil,0.10,15.65,80.73,nil,96.39,15.65,,,,0.06,,640.67,318.75,3.53,lakh,true,consolidated,,due_date,13.95,0.46,nil,782.55,34.65,179.69,9,current_investments_absent_treated_nil,6.51,materials_plus_purchases,,,,,,FIN_GT_20PCT,true
SETCO,FY2025,user-supplied PDF: Setco Automotive Annual Report 2024-25,2025-09-02,FY2025 report: consolidated P&L p.139; consolidated BS p.138; consolidated cash flow p.140,,23.27,11.71,0.02,nil,nil,34.99,61.96,nil,96.95,34.99,,,,0.19,,718.63,311.95,3.54,lakh,true,consolidated,,due_date,20.19,0.3,nil,858.95,32.09,217.41,12,current_investments_absent_treated_nil,22.27,both,accrued_unpaid,tabular,"Information in terms of Section 22 of Micro, Small and Medium enterprises Development Act, 2006 are given below : | Principal amount remaining unpaid to any supplier at the end of each accounting year | Interest accrued & remaining unpaid  [NOTE: only two lines; no appointed-day line disclosed at all]",,,FIN_GT_20PCT,true
GENSOL,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cf949692-2280-4ee7-ba6f-30d1961f1ad5.pdf,2024-09-07,"NOT EXTRACTED: FY2022 and FY2023 annual reports are image-only PDFs (no text layer); FY2022 predates the Ind AS transition date of 1 April 2022, so its figures are previous-GAAP and not comparable with the FY2023/FY2024 Ind AS rows. Balance sheet items as at 1 Apr 2022 are available in the FY2024 report third column but on the Ind AS opening basis only.",,,4.41,nil,nil,nil,4.41,7.30,nil,11.71,4.41,nil,,nil,nil,153.51,,,10.19,crore,false,standalone,nil,due_date,,,,,,,,,,,,,,,,ROW_NOT_EXTRACTED_IMAGE_PDF_AND_GAAP_BREAK,
